"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 27 21:58:39 UTC 2026","Fri Mar 27 21:58:39 UTC 2026","53","Surefire suite","Surefire test","tests.user.UserAuthTests","tests.user.UserAuthTests","loginUser","loginUser",""
"passed","Fri Mar 27 21:58:40 UTC 2026","Fri Mar 27 21:58:40 UTC 2026","9","Surefire suite","Surefire test","tests.management.UserManagementTests","tests.management.UserManagementTests","countUsers","countUsers",""
"passed","Fri Mar 27 21:58:40 UTC 2026","Fri Mar 27 21:58:40 UTC 2026","10","Surefire suite","Surefire test","tests.management.UserManagementTests","tests.management.UserManagementTests","deleteUser","deleteUser",""
"passed","Fri Mar 27 21:58:37 UTC 2026","Fri Mar 27 21:58:39 UTC 2026","1863","Surefire suite","Surefire test","tests.user.UserAuthTests","tests.user.UserAuthTests","registerUser","registerUser",""
"passed","Fri Mar 27 21:58:40 UTC 2026","Fri Mar 27 21:58:40 UTC 2026","13","Surefire suite","Surefire test","tests.management.UserManagementTests","tests.management.UserManagementTests","blockUser","blockUser",""
"passed","Fri Mar 27 21:58:39 UTC 2026","Fri Mar 27 21:58:39 UTC 2026","19","Surefire suite","Surefire test","tests.user.UserAuthTests","tests.user.UserAuthTests","searchUser","searchUser",""
"passed","Fri Mar 27 21:58:40 UTC 2026","Fri Mar 27 21:58:40 UTC 2026","13","Surefire suite","Surefire test","tests.management.UserManagementTests","tests.management.UserManagementTests","logout","logout",""
"passed","Fri Mar 27 21:58:39 UTC 2026","Fri Mar 27 21:58:39 UTC 2026","53","Surefire suite","Surefire test","tests.user.UserAuthTests","tests.user.UserAuthTests","getUser","getUser",""
"passed","Fri Mar 27 21:58:39 UTC 2026","Fri Mar 27 21:58:39 UTC 2026","21","Surefire suite","Surefire test","tests.user.UserAuthTests","tests.user.UserAuthTests","updateUser","updateUser",""
"passed","Fri Mar 27 21:58:40 UTC 2026","Fri Mar 27 21:58:40 UTC 2026","18","Surefire suite","Surefire test","tests.management.UserManagementTests","tests.management.UserManagementTests","activateUser","activateUser",""
